Customer,Clv,Coverage,Education,EmploymentStatus,Gender,Income,Location ,Marital ,Policiesnum,Policytype,Saleschannel
XA55993,3133.503432,Extended,Master,Employed,F,58850,Rural,Single,1,Personal Auto,Branch
GO36627,3837.451863,Extended,College,Employed,M,21880,Urban,Married,1,Special Auto,Branch
QH48047,11790.49617,Basic,College,Retired,M,25251,Suburban,Divorced,2,Personal Auto,Web
RB50392,7838.068321,Basic,Master,Unemployed,F,0,Rural,Married,2,Personal Auto,Agent
UH65059,4305.808345,Basic,High School or Below,Employed,M,24188,Suburban,Married,1,Personal Auto,Agent
FV21968,5973.976904,Basic,Bachelor,Employed,F,41611,Rural,Married,8,Special Auto,Branch
QA87025,5670.442396,Basic,Bachelor,Employed,F,28406,Urban,Married,4,Personal Auto,Call Center
TQ13499,4731.749346,Premium,College,Employed,M,69833,Suburban,Married,1,Personal Auto,Agent
BU44523,8026.379641,Basic,High School or Below,Unemployed,F,0,Suburban,Single,2,Corporate Auto,Web
MS41162,4022.963529,Basic,High School or Below,Unemployed,M,0,Suburban,Single,1,Personal Auto,Agent
PU25891,9618.310865,Basic,High School or Below,Employed,F,80536,Rural,Married,3,Special Auto,Branch
RB81636,2274.775451,Basic,College,Unemployed,F,0,Suburban,Single,1,Personal Auto,Agent
SX26335,9552.926922,Extended,College,Employed,F,97732,Urban,Married,2,Personal Auto,Branch
AZ95587,10388.55323,Extended,Bachelor,Employed,F,61222,Urban,Single,2,Special Auto,Branch
DS81757,2470.121222,Basic,College,Unemployed,M,0,Suburban,Single,1,Personal Auto,Web
OJ94107,5619.068508,Premium,Master,Employed,M,50335,Urban,Married,1,Personal Auto,Call Center
LP84436,9047.119209,Extended,High School or Below,Unemployed,F,0,Suburban,Single,6,Personal Auto,Branch
YV64727,6692.143668,Premium,High School or Below,Employed,M,63221,Suburban,Married,1,Corporate Auto,Agent
LM19287,3731.504584,Extended,High School or Below,Unemployed,F,0,Suburban,Married,1,Personal Auto,Agent
ZU18643,3660.770258,Extended,Bachelor,Employed,M,64495,Urban,Married,1,Corporate Auto,Web
AZ82578,7928.829252,Basic,College,Unemployed,F,0,Suburban,Married,2,Corporate Auto,Call Center
XC67861,5011.751577,Basic,Bachelor,Employed,F,28859,Suburban,Divorced,4,Corporate Auto,Call Center
YC43143,7988.258292,Extended,High School or Below,Employed,F,77330,Rural,Married,3,Personal Auto,Web
EK59571,3885.456401,Premium,College,Unemployed,M,0,Suburban,Married,1,Corporate Auto,Branch
GD83998,2659.337982,Basic,Bachelor,Employed,M,24495,Suburban,Single,1,Personal Auto,Branch
WA25797,8564.768226,Basic,High School or Below,Employed,M,95697,Rural,Married,9,Personal Auto,Agent
PD27940,4885.162511,Extended,High School or Below,Disabled,M,26372,Suburban,Married,1,Personal Auto,Agent
BS77946,9753.307106,Extended,Bachelor,Medical Leave,F,17514,Rural,Married,3,Personal Auto,Branch
YM50253,2946.153697,Basic,Bachelor,Employed,F,89270,Urban,Single,1,Personal Auto,Branch
NR15332,2581.110945,Basic,High School or Below,Employed,M,29757,Suburban,Married,1,Personal Auto,Web
RC62865,3517.385764,Extended,College,Employed,M,51814,Rural,Single,1,Personal Auto,Agent
CC15295,9743.350113,Extended,Bachelor,Employed,F,24028,Suburban,Married,2,Personal Auto,Agent
KA61892,3873.647046,Basic,College,Retired,M,28142,Suburban,Married,1,Personal Auto,Agent
OS94884,7649.28199,Basic,Bachelor,Employed,F,52705,Rural,Married,2,Personal Auto,Web
ND87334,2287.59692,Basic,High School or Below,Unemployed,M,0,Suburban,Married,1,Corporate Auto,Agent
ML93326,4475.424592,Basic,College,Employed,F,84903,Urban,Married,1,Personal Auto,Agent
YL74911,8714.922135,Basic,College,Unemployed,F,0,Suburban,Divorced,4,Personal Auto,Agent
JP69864,2248.449633,Basic,Bachelor,Retired,F,24910,Suburban,Single,1,Personal Auto,Branch
HL53154,7416.197322,Extended,Bachelor,Unemployed,M,0,Suburban,Single,2,Personal Auto,Agent
RI78966,7771.158973,Basic,Master,Medical Leave,M,21876,Suburban,Married,2,Personal Auto,Agent
IC13702,6968.3419,Basic,Bachelor,Unemployed,F,0,Suburban,Single,2,Personal Auto,Agent
BE10809,4250.282624,Basic,High School or Below,Unemployed,F,0,Suburban,Single,7,Personal Auto,Agent
HT87217,19776.56654,Extended,High School or Below,Employed,F,70699,Urban,Divorced,2,Personal Auto,Agent
TH95618,21343.46599,Basic,High School or Below,Unemployed,F,0,Suburban,Married,2,Personal Auto,Agent
TS19868,2413.139714,Basic,College,Medical Leave,M,27501,Suburban,Married,1,Personal Auto,Branch
LP45550,15363.84716,Premium,Doctor,Disabled,F,15897,Urban,Divorced,2,Personal Auto,Agent
QR87004,8456.961887,Basic,College,Employed,F,25141,Rural,Divorced,2,Personal Auto,Agent
OE75747,2189.642522,Basic,College,Unemployed,F,0,Suburban,Married,1,Personal Auto,Agent
DX91392,5780.182197,Basic,High School or Below,Employed,M,51066,Suburban,Single,8,Personal Auto,Call Center
AB72731,4639.981638,Basic,Bachelor,Employed,F,28358,Rural,Married,1,Personal Auto,Call Center
RU49126,4465.335703,Basic,College,Employed,F,61846,Rural,Married,1,Personal Auto,Agent
IS12901,5968.118877,Basic,Bachelor,Employed,F,90972,Urban,Married,8,Personal Auto,Call Center
IX37561,5097.763337,Basic,College,Unemployed,F,0,Suburban,Single,7,Personal Auto,Web
HH90090,4076.634665,Basic,Bachelor,Employed,F,29549,Suburban,Divorced,1,Personal Auto,Call Center
IU25463,12252.60179,Premium,Bachelor,Unemployed,F,0,Suburban,Married,2,Personal Auto,Agent
KC11055,16936.27147,Extended,Bachelor,Employed,F,39411,Suburban,Married,4,Personal Auto,Branch
PD33979,4892.435461,Basic,High School or Below,Employed,M,21709,Suburban,Married,3,Personal Auto,Branch
NK71023,9942.304791,Extended,Bachelor,Employed,M,67890,Suburban,Single,2,Personal Auto,Agent
AB13432,3735.838129,Basic,Bachelor,Unemployed,M,0,Suburban,Single,1,Personal Auto,Agent
OZ97704,13117.52215,Basic,High School or Below,Employed,F,84311,Suburban,Single,2,Personal Auto,Call Center
UF46533,4574.524094,Basic,College,Employed,F,99316,Suburban,Single,1,Corporate Auto,Branch
XP47431,5470.060561,Extended,Bachelor,Employed,F,54507,Suburban,Married,1,Personal Auto,Agent
GK73582,2978.84601,Extended,Bachelor,Employed,F,64586,Urban,Single,1,Personal Auto,Branch
RV98763,6410.967544,Extended,College,Employed,M,61709,Urban,Married,7,Personal Auto,Branch
II62831,4479.023088,Basic,Master,Employed,M,94656,Urban,Married,1,Special Auto,Web
XK33449,2383.731879,Basic,High School or Below,Unemployed,F,0,Suburban,Single,1,Special Auto,Branch
TR85083,2764.493659,Basic,Bachelor,Employed,M,61085,Suburban,Married,1,Personal Auto,Branch
EO95328,7920.105377,Basic,Bachelor,Employed,F,89284,Suburban,Married,2,Personal Auto,Agent
EN21086,6889.097981,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,2,Personal Auto,Branch
YL83902,3274.194616,Extended,Bachelor,Employed,F,31686,Suburban,Married,1,Personal Auto,Agent
AZ62651,9951.707743,Premium,High School or Below,Employed,M,56855,Suburban,Single,1,Corporate Auto,Web
ZW25874,2521.555686,Basic,Bachelor,Employed,M,53703,Rural,Single,1,Special Auto,Branch
EH41854,23706.11337,Extended,High School or Below,Unemployed,F,0,Suburban,Single,2,Personal Auto,Branch
MW70227,6047.02516,Extended,College,Employed,M,20396,Suburban,Married,4,Personal Auto,Branch
SL22297,11140.30248,Premium,Master,Disabled,F,27679,Suburban,Single,3,Personal Auto,Call Center
RV14138,4334.064096,Extended,Bachelor,Retired,F,23904,Suburban,Single,1,Personal Auto,Agent
UO62808,2799.74791,Basic,High School or Below,Employed,F,65351,Suburban,Married,1,Corporate Auto,Call Center
ZX64745,7923.136624,Basic,College,Unemployed,M,0,Suburban,Single,7,Personal Auto,Agent
FL34139,3688.110888,Basic,High School or Below,Unemployed,M,0,Suburban,Single,7,Personal Auto,Call Center
TS11219,12067.45599,Basic,College,Unemployed,M,0,Suburban,Single,2,Personal Auto,Agent
XX12304,2924.976721,Basic,College,Employed,F,64459,Urban,Married,1,Personal Auto,Branch
SD64087,15014.0927,Premium,College,Employed,M,32961,Suburban,Married,3,Corporate Auto,Branch
OY38576,9277.233839,Basic,High School or Below,Employed,F,71416,Suburban,Divorced,3,Corporate Auto,Agent
BG76355,6274.123875,Extended,Bachelor,Employed,F,68964,Rural,Married,3,Personal Auto,Web
IP66913,3886.647414,Extended,High School or Below,Employed,M,78108,Suburban,Single,1,Personal Auto,Agent
LE95702,4386.277558,Basic,College,Retired,M,10621,Suburban,Single,5,Special Auto,Agent
KX54357,11365.26766,Extended,College,Employed,M,84910,Urban,Married,2,Corporate Auto,Web
EZ78112,5610.96434,Basic,High School or Below,Employed,F,77493,Urban,Single,3,Special Auto,Agent
XN16891,2912.892035,Basic,College,Employed,M,81097,Suburban,Divorced,1,Personal Auto,Agent
XK31350,6915.729915,Extended,College,Employed,F,96610,Suburban,Married,3,Corporate Auto,Call Center
CC30924,6262.663307,Premium,College,Employed,M,30110,Urban,Married,1,Corporate Auto,Agent
IT78748,6503.397049,Extended,High School or Below,Disabled,F,22081,Suburban,Married,6,Special Auto,Agent
KY33386,8007.399376,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,3,Personal Auto,Web
CO44221,2929.916512,Basic,College,Employed,M,98473,Suburban,Married,1,Personal Auto,Branch
LK60013,5969.55297,Basic,Bachelor,Employed,F,97431,Suburban,Married,3,Personal Auto,Branch
DE21533,5473.15987,Basic,Bachelor,Employed,M,93870,Suburban,Divorced,8,Personal Auto,Call Center
YS94121,5645.396665,Basic,High School or Below,Employed,M,50366,Suburban,Divorced,9,Personal Auto,Call Center
UK68427,6369.262355,Extended,High School or Below,Employed,M,34498,Suburban,Single,7,Personal Auto,Branch
TE49565,11833.76732,Basic,College,Disabled,F,16552,Suburban,Married,2,Personal Auto,Call Center
RA88421,6121.107929,Extended,College,Employed,F,26787,Suburban,Married,5,Personal Auto,Branch
KQ51983,5159.369746,Basic,College,Unemployed,M,0,Suburban,Single,9,Personal Auto,Branch
CD88896,2514.59196,Basic,High School or Below,Employed,F,43860,Rural,Single,1,Corporate Auto,Agent
YV22553,8668.611261,Basic,High School or Below,Employed,M,21474,Urban,Married,9,Corporate Auto,Agent
WU14435,4960.965384,Basic,Bachelor,Disabled,M,18174,Suburban,Married,9,Corporate Auto,Agent
XV84099,5504.139033,Basic,Bachelor,Unemployed,F,0,Suburban,Married,5,Corporate Auto,Call Center
RI24911,7507.455372,Basic,College,Employed,M,60920,Urban,Single,2,Personal Auto,Agent
KO26461,32269.85139,Extended,High School or Below,Employed,M,41520,Urban,Married,2,Personal Auto,Agent
HI14283,5657.031588,Premium,Bachelor,Unemployed,F,0,Suburban,Married,1,Personal Auto,Web
PT50227,5061.757902,Basic,High School or Below,Unemployed,M,0,Suburban,Married,8,Personal Auto,Call Center
BH36570,5912.783829,Basic,Bachelor,Employed,M,72208,Suburban,Married,8,Personal Auto,Branch
TX17484,15182.27975,Basic,Bachelor,Employed,F,53863,Rural,Married,2,Personal Auto,Web
CT41158,10747.03094,Extended,College,Employed,M,66446,Urban,Divorced,3,Corporate Auto,Branch
AO87348,2050.623512,Basic,College,Unemployed,M,0,Suburban,Single,1,Personal Auto,Agent
DE55857,2465.444865,Basic,Bachelor,Employed,F,64997,Suburban,Single,1,Personal Auto,Agent
LF66923,5343.121327,Basic,High School or Below,Employed,F,64460,Suburban,Married,3,Corporate Auto,Agent
CN24514,8119.829071,Basic,College,Employed,F,46618,Rural,Married,2,Personal Auto,Agent
UW32074,4605.265164,Basic,College,Unemployed,F,0,Suburban,Divorced,4,Corporate Auto,Branch
HP36979,6408.785577,Extended,College,Employed,M,49988,Suburban,Married,5,Personal Auto,Web
PP40919,2376.533508,Extended,College,Unemployed,F,0,Suburban,Single,1,Personal Auto,Agent
RO73268,3211.070017,Extended,Bachelor,Disabled,M,16269,Suburban,Divorced,1,Corporate Auto,Agent
HO61691,5094.522262,Basic,Bachelor,Employed,F,72006,Suburban,Divorced,3,Personal Auto,Agent
BS13062,25755.27817,Extended,High School or Below,Unemployed,F,0,Suburban,Married,2,Personal Auto,Call Center
FO35655,8672.229719,Extended,Bachelor,Unemployed,M,0,Suburban,Single,1,Corporate Auto,Branch
HR10526,8044.73072,Basic,Master,Employed,M,44320,Suburban,Married,2,Personal Auto,Call Center
IA63417,4001.519098,Premium,High School or Below,Retired,F,19782,Suburban,Divorced,1,Personal Auto,Web
BH35016,16706.11699,Basic,Bachelor,Employed,F,63933,Suburban,Divorced,2,Personal Auto,Call Center
PK52952,8544.411077,Basic,Doctor,Employed,M,28224,Suburban,Single,8,Personal Auto,Call Center
OD76309,7805.31287,Basic,College,Retired,F,21073,Suburban,Divorced,3,Personal Auto,Agent
IL28481,6112.756868,Extended,Bachelor,Employed,M,63243,Urban,Married,3,Personal Auto,Call Center
GY55092,4772.943848,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,1,Personal Auto,Agent
UF33451,10979.09559,Extended,Bachelor,Employed,F,94827,Urban,Married,4,Personal Auto,Agent
CF15558,5004.263818,Basic,Master,Employed,F,39161,Urban,Married,4,Personal Auto,Call Center
JM62924,13223.04379,Extended,Bachelor,Employed,M,37534,Suburban,Married,2,Personal Auto,Branch
EM66435,2623.31543,Basic,Bachelor,Employed,F,80210,Rural,Divorced,1,Corporate Auto,Agent
QX45933,17840.19555,Basic,Bachelor,Unemployed,M,0,Suburban,Married,2,Personal Auto,Agent
JI71369,5106.111827,Basic,College,Employed,F,30110,Rural,Married,5,Personal Auto,Web
JU93290,17930.60451,Basic,College,Medical Leave,F,21708,Suburban,Divorced,2,Personal Auto,Web
GU66096,5457.342569,Basic,High School or Below,Employed,M,94731,Suburban,Married,4,Personal Auto,Agent
UC33108,6563.644143,Extended,Bachelor,Employed,M,32375,Suburban,Married,6,Personal Auto,Agent
LW93867,4812.525221,Basic,College,Medical Leave,M,16531,Rural,Married,4,Corporate Auto,Web
OU78470,29328.04185,Extended,Master,Employed,F,32006,Rural,Single,2,Corporate Auto,Call Center
XW90265,5773.520711,Basic,Bachelor,Employed,F,81676,Suburban,Married,8,Personal Auto,Agent
HS67749,6847.1189,Extended,College,Employed,M,71038,Rural,Married,3,Corporate Auto,Agent
VZ51506,3595.31286,Basic,High School or Below,Unemployed,F,0,Suburban,Single,1,Corporate Auto,Call Center
UI64281,22855.61209,Basic,Master,Medical Leave,F,20832,Rural,Married,2,Personal Auto,Call Center
AE98193,7859.414569,Basic,High School or Below,Unemployed,M,0,Suburban,Single,7,Personal Auto,Branch
AZ74055,4115.577437,Premium,High School or Below,Employed,M,52405,Suburban,Married,1,Personal Auto,Call Center
XS76911,5029.638777,Extended,High School or Below,Unemployed,F,0,Suburban,Married,1,Personal Auto,Agent
AY40674,4821.418454,Extended,Bachelor,Employed,F,26583,Suburban,Married,1,Personal Auto,Agent
